Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Core,01/03/2024,Grants Expenditure,Capital Directorate,Knowsley Metro Borough Council,DU00106264,"46,083.97",Capital Grants - Local Government
Department for Education,Core,01/03/2024,Grants Expenditure,Capital Directorate,Norfolk County Council,DU00106266,"30,491.42",Capital Grants - Local Government
Department for Education,Core,01/03/2024,Grants Expenditure,Capital Directorate,Nottingham City Council,DU00106267,"51,042.35",Capital Grants - Local Government
Department for Education,Core,01/03/2024,Grants Expenditure,Capital Directorate,Derbyshire County Council,DU00106268,"39,821.31",Capital Grants - Local Government
Department for Education,Core,01/03/2024,Grants Expenditure,Capital Directorate,Sandwell Metro Borough Council,DU00106270,"33,945.32",Capital Grants - Local Government
Department for Education,Core,01/03/2024,Grants Expenditure,Capital Directorate,South Gloucestershire Council,DU00106272,"35,536.84",Capital Grants - Local Government
Department for Education,Core,01/03/2024,Grants Expenditure,Capital Directorate,Walsall Metro Borough Council,DU00106277,"35,035.98",Capital Grants - Local Government
Department for Education,Core,01/03/2024,Grants Expenditure,Capital Directorate,Nottingham City Council,DU00106280,"47,595.98",Capital Grants - Local Government
Department for Education,Core,01/03/2024,Grants Expenditure,Capital Directorate,Sandwell Metro Borough Council,DU00106282,"28,292.47",Capital Grants - Local Government
Department for Education,Core,01/03/2024,Grants Expenditure,Capital Directorate,Bradford City Council,DU00106287,"53,166.60",Capital Grants - Local Government
Department for Education,Core,01/03/2024,Grants Expenditure,Capital Directorate,Nottingham City Council,DU00106305,"80,609.99",Capital Grants - Local Government
